# index arm charge dw23_bin_center wness_bin_center value uncertainty
485 0 0 -0.287500 0.427500 -0.028764 8.272241
486 0 0 -0.287500 0.432500 -0.034736 8.272173
487 0 0 -0.287500 0.437500 -0.040349 8.272177
488 0 0 -0.287500 0.442500 -0.045599 8.272240
489 0 0 -0.287500 0.447500 -0.050478 8.272349
490 0 0 -0.287500 0.452500 -0.054984 8.272490
491 0 0 -0.287500 0.457500 -0.059113 8.272653
492 0 0 -0.287500 0.462500 -0.062862 8.272826
493 0 0 -0.287500 0.467500 -0.066233 8.272999
494 0 0 -0.287500 0.472500 -0.069225 8.273165
495 0 0 -0.287500 0.477500 -0.071839 8.273314
496 0 0 -0.287500 0.482500 -0.074078 8.273441
497 0 0 -0.287500 0.487500 -0.075947 8.273541
498 0 0 -0.287500 0.492500 -0.077449 8.273610
499 0 0 -0.287500 0.497500 -0.078591 8.273645
500 0 0 -0.287500 0.502500 -0.079379 8.273645
501 0 0 -0.287500 0.507500 -0.079821 8.273610
